Date,Open,High,Low,Close,Adj Close,Volume
2004-03-04,10.779547,10.817977,10.635436,10.779547,3.960507,16768527
2004-03-05,10.779547,10.856407,10.664258,10.779547,3.960507,22145227
2004-03-08,10.837192,10.856407,10.760332,10.837192,3.981685,14014962
2004-03-09,10.683473,10.789155,10.654650,10.683473,3.925207,16403331
2004-03-10,10.683473,10.712295,10.587398,10.683473,3.925207,19344337
2004-03-11,10.414464,10.548969,10.308783,10.414464,3.826370,27675409
2004-03-12,10.337605,10.347212,10.030167,10.337605,3.798133,29326530
2004-03-15,9.818803,10.155064,9.818803,9.818803,3.607519,45349920
2004-03-16,9.962915,10.097419,9.751551,9.962915,3.660469,33556354
2004-03-17,10.260745,10.289568,10.001345,10.260745,3.769895,57771252
2004-03-18,9.991737,10.318390,9.934092,9.991737,3.671058,24570103
2004-03-19,10.155064,10.183886,9.943700,10.155064,3.731065,36368114
2004-03-22,9.943700,10.030167,9.838018,9.943700,3.653410,33399865
2004-03-23,10.078204,10.203101,9.886055,10.078204,3.702827,23085956
2004-03-24,10.145456,10.241531,9.982130,10.145456,3.727537,29991927
2004-03-25,10.327998,10.327998,10.193493,10.327998,3.794604,28550319
2004-03-26,10.366427,10.414464,10.308783,10.366427,3.808723,20046414
2004-03-29,10.443287,10.481717,10.251138,10.443287,3.836961,41716861
2004-03-30,10.395250,10.452894,10.327998,10.395250,3.819312,18838366
2004-03-31,10.347212,10.433679,10.279960,10.347212,3.801662,48830015
2004-04-01,10.472109,10.481717,10.337605,10.472109,3.847550,117898287
2004-04-02,10.741117,10.760332,10.376035,10.741117,3.946387,134006911
2004-04-05,10.779547,10.837192,10.664258,10.779547,3.960507,134123645
2004-04-06,10.779547,10.875622,10.654650,10.779547,3.960507,114855037
2004-04-07,10.866014,10.866014,10.683473,10.866014,3.992275,41890647
2004-04-08,10.952481,11.029341,10.866014,10.952481,4.024046,45987309
2004-04-09,10.952481,10.952481,10.952481,10.952481,4.024046,0
2004-04-12,10.952481,10.952481,10.952481,10.952481,4.024046,0
2004-04-13,10.971696,11.019733,10.866014,10.971696,4.071821,54605230
2004-04-14,10.741117,10.866014,10.625828,10.741117,3.986249,127550914
2004-04-15,10.654650,10.760332,10.616221,10.654650,3.954159,30448612
2004-04-16,10.769940,10.779547,10.654650,10.769940,3.996945,23953282
2004-04-19,10.702688,10.798762,10.625828,10.702688,3.971988,75451368
2004-04-20,10.712295,10.808370,10.712295,10.712295,3.975553,15323459
2004-04-21,10.606613,10.683473,10.577791,10.606613,3.936330,17928663
2004-04-22,10.721903,10.789155,10.529754,10.721903,3.979119,35290612
2004-04-23,10.741117,10.885229,10.721903,10.741117,3.986249,47270244
2004-04-26,10.866014,10.904444,10.760332,10.866014,4.032600,22759534
2004-04-27,10.933266,10.942874,10.817977,10.933266,4.057560,24883561
2004-04-28,10.702688,10.923659,10.693080,10.702688,3.971988,17039994
2004-04-29,10.664258,10.721903,10.529754,10.664258,3.957725,26505218
2004-04-30,10.577791,10.664258,10.529754,10.577791,3.925636,20001407
2004-05-03,10.721903,10.721903,10.529754,10.721903,3.979119,13195948
2004-05-04,10.760332,10.779547,10.597006,10.760332,3.993380,23845727
2004-05-05,10.923659,10.923659,10.625828,10.923659,4.053996,19092032
2004-05-06,10.645043,10.885229,10.645043,10.645043,3.950594,79524418
2004-05-07,10.443287,10.683473,10.376035,10.443287,3.875719,53514734
2004-05-10,10.116634,10.299175,10.039774,10.116634,3.754491,34990340
2004-05-11,10.356820,10.356820,10.126241,10.356820,3.843630,24448006
2004-05-12,10.203101,10.414464,10.183886,10.203101,3.786582,31406347
2004-05-13,10.270353,10.308783,10.135849,10.270353,3.811539,23736774
2004-05-14,10.193493,10.279960,10.116634,10.193493,3.783015,50788534
2004-05-17,9.991737,10.087812,9.886055,9.991737,3.708140,21293659
2004-05-18,10.058989,10.135849,10.020559,10.058989,3.733098,24498111
2004-05-19,10.414464,10.424072,10.164671,10.414464,3.865021,20584497
2004-05-20,10.231923,10.318390,10.155064,10.231923,3.797276,34217983
